('EBAS_VNAME', 'CFNAME', 'MATRIX_NAME')
('1-2-3-4-tetrachlorobenzene', 'mass_concentration_of_1234_tetrachlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-2-3-4-tetrahydronaphthalene', 'mass_concentration_of_1234_tetrahydronaphthalene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-2-3-trichlorobenzene', 'mass_concentration_of_123_trichlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-2-4-5-tetrachlorobenzene', 'mass_concentration_of_1245_tetrachlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-2-4-trichlorobenzene', 'mass_concentration_of_124_trichlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-2-dichlorobenzene', 'mass_concentration_of_12_dichlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-3-5-trichlorobenzene', 'mass_concentration_of_135_trichlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-3-dichlorobenzene', 'mass_concentration_of_13_dichlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-4-dichlorobenzene', 'mass_concentration_of_14_dichlorobenzene_in_dry_aerosol_particles_in _air', 'aerosol')
('1-methylnaphthalene', None, 'aerosol')
('1234678_HpCDD', 'mass_concentration_of_1234678_heptachlorodibenzo_p_dioxin_in_dry_aerosol_particles_in _air', 'aerosol')
('1234678_HpCDF', 'mass_concentration_of_1234678_heptachlorodibenzofuran_in_dry_aerosol_particles_in _air', 'aerosol')
('1234789_HpCDF', 'mass_concentration_of_1234789_heptachlorodibenzofuran_in_dry_aerosol_particles_in _air', 'aerosol')
('123478_HxCDD', 'mass_concentration_of_123478_hexachlorodibenzo_p_dioxin_in_dry_aerosol_particles_in _air', 'aerosol')
('123478_HxCDF', 'mass_concentration_of_123478_hexachlorodibenzofuran_in_dry_aerosol_particles_in _air', 'aerosol')
('123678_HxCDD', 'mass_concentration_of_123678_hexachlorodibenzo_p_dioxin_in_dry_aerosol_particles_in _air', 'aerosol')
('123678_HxCDF', 'mass_concentration_of_123678_hexachlorodibenzofuran_in_dry_aerosol_particles_in _air', 'aerosol')
('123789_HxCDD', 'mass_concentration_of_123789_hexachlorodibenzo_p_dioxin_in_dry_aerosol_particles_in _air', 'aerosol')
('123789_HxCDF', 'mass_concentration_of_123789_hexachlorodibenzofuran_in_dry_aerosol_particles_in _air', 'aerosol')
('12378_PeCDD', 'mass_concentration_of_12378_pentachlorodibenzo_p_dioxin_in_dry_aerosol_particles_in _air', 'aerosol')
('12378_PeCDF', 'mass_concentration_of_12378_pentachlorodibenzofuran_in_dry_aerosol_particles_in _air', 'aerosol')
('2-chloronaphthalene', 'mass_concentration_of_2_chloronaphthalene_in_dry_aerosol_particles_in _air', 'aerosol')
('2-methylerythritol', None, 'aerosol')
('2-methylnaphthalene', None, 'aerosol')
('2-methylthreitol', None, 'aerosol')
