WMO306_CD,PATH_TX,SOURCE_VARIABLE_ID,SOURCE_MATRIX_ID,CF_STANDARD_NAME_TX,IUPAC_NAME_TX,DEFINITION_TX
10000,\Atmosphere,,,,,
10001,\Atmosphere\Aerosol,,,,,
10002,\Atmosphere\Aerosol\Composition,,,,,
579,"\Atmosphere\Aerosol\Composition\Acidity/Alkalinity, total aerosol",acidity,aerosol,,,
10003,\Atmosphere\Aerosol\Composition\Inorganic anions,,,,,
615,"\Atmosphere\Aerosol\Composition\Inorganic anions\Chloride (Cl-), PM10",chloride,pm10,,,
616,"\Atmosphere\Aerosol\Composition\Inorganic anions\Chloride (Cl-), PM2.5",chloride,pm25,,,
617,"\Atmosphere\Aerosol\Composition\Inorganic anions\Chloride (Cl-), total aerosol",chloride,aerosol,,,
618,"\Atmosphere\Aerosol\Composition\Inorganic anions\Fluoride (F-), total aerosol",fluoride,aerosol,,,
619,"\Atmosphere\Aerosol\Composition\Inorganic anions\Sulfate (SO4=), corrected",sulphate_corrected,aerosol,,,
620,"\Atmosphere\Aerosol\Composition\Inorganic anions\Sulfate (SO4=), total",sulphate_total,aerosol,,,
621,"\Atmosphere\Aerosol\Composition\Inorganic anions\Sulfate (SO4=), total, PM10",sulphate_total,pm10,,,
622,"\Atmosphere\Aerosol\Composition\Inorganic anions\Sulfate (SO4=), total, PM2.5",sulphate_total,pm25,,,
10004,\Atmosphere\Aerosol\Composition\Inorganic carbonaceous,,,,,
623,"\Atmosphere\Aerosol\Composition\Inorganic carbonaceous\Elemental carbon (coarse), PM10",elemental_carbon,pm10,,,
623,"\Atmosphere\Aerosol\Composition\Inorganic carbonaceous\Elemental carbon (coarse), PM10",elementary_carbon,pm10,,,
624,"\Atmosphere\Aerosol\Composition\Inorganic carbonaceous\Elemental carbon, PM1",elemental_carbon,pm1,,,
625,"\Atmosphere\Aerosol\Composition\Inorganic carbonaceous\Elemental carbon, PM2.5",elemental_carbon,pm25,,,
626,"\Atmosphere\Aerosol\Composition\Inorganic carbonaceous\Total carbon (coarse), PM10",total_carbon,pm10,,,
10005,\Atmosphere\Aerosol\Composition\Inorganic cations,,,,,
632,"\Atmosphere\Aerosol\Composition\Inorganic cations\Calcium (Ca++), PM10",calcium,pm10,,,
633,"\Atmosphere\Aerosol\Composition\Inorganic cations\Calcium (Ca++), PM2.5",calcium,pm25,,,
634,"\Atmosphere\Aerosol\Composition\Inorganic cations\Calcium (Ca++), total aerosol",calcium,aerosol,,,
635,"\Atmosphere\Aerosol\Composition\Inorganic cations\Magnesium (Mg++), PM10",magnesium,pm10,,,
636,"\Atmosphere\Aerosol\Composition\Inorganic cations\Magnesium (Mg++), PM2.5",magnesium,pm25,,,
637,"\Atmosphere\Aerosol\Composition\Inorganic cations\Magnesium (Mg++), total aerosol",magnesium,aerosol,,,
638,"\Atmosphere\Aerosol\Composition\Inorganic cations\Potassium (K+), PM10",potassium,pm10,,,
639,"\Atmosphere\Aerosol\Composition\Inorganic cations\Potassium (K+), PM2.5",potassium,pm25,,,
640,"\Atmosphere\Aerosol\Composition\Inorganic cations\Potassium (K+), total aerosol",potassium,aerosol,,,
641,"\Atmosphere\Aerosol\Composition\Inorganic cations\Sodium (Na+), PM10",sodium,pm10,,,
642,"\Atmosphere\Aerosol\Composition\Inorganic cations\Sodium (Na+), PM2.5",sodium,pm25,,,
643,"\Atmosphere\Aerosol\Composition\Inorganic cations\Sodium (Na+), total aerosol",sodium,aerosol,,,
